Section,Element Type,Element Description,URL Destination,URL (Client to Fill),Priority,Notes
Campaign,Email CTA,Tasting Room Reservations,Reservation system link for emails,,Critical,Must track email conversions
Campaign,Email CTA,Wine Club Signup,Wine Club enrollment page,,Critical,Direct membership conversion
Campaign,Email CTA,DTC Offers,Special offers / promotions page,,High,Campaign-specific offers
Campaign,Social Media,Instagram Feed Integration,Instagram API or embed,,Medium,Real-time social feed on landing page
E-commerce,Shop,Main Shop Page,Wine shop homepage,,Critical,E-commerce platform
E-commerce,Cart,Shopping Cart,Cart page,,Critical,E-commerce checkout
E-commerce,Checkout,Checkout Page,Checkout system,,Critical,Payment processing
E-commerce,Account,Customer Account / Login,Account management,,High,User authentication
E-commerce,Order,Order Tracking,Order status page,,Medium,Post-purchase tracking
Booking,Tasting Reservations,Tasting room booking system,Booking platform URL,,Critical,"Could be Tock, OpenTable, or custom"
Booking,Private Events,Private event inquiry/booking,Event booking system,,High,Private experience bookings
Booking,Culinary,Dining reservations,Restaurant booking system,,High,Culinary experience bookings
Integration,Age Verification,Age gate / verification,Age verification service,,Critical,Legal requirement for alcohol
Integration,Analytics,Google Analytics,GA4 tracking code,,High,Campaign tracking
Integration,Email Marketing,Email capture integration,Marketing platform,,High,List building
Integration,CRM,Customer data system,CRM platform integration,,Medium,Customer management
